MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEIBUS,198806,1365.659,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198807,1499.555,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198808,1572.779,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198809,1286.189,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198810,1244.835,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198811,1239.465,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198812,1399.214,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198813,15849.966,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198901,1404.937,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198902,1321.126,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198903,1304.738,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198904,1181.398,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198905,1231.56,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198906,1339.04,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198907,1467.09,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198908,1483.354,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198909,1323.774,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198910,1274.359,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198911,1283.718,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198912,1522.129,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,198913,16137.221,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199001,1396.678,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199002,1221.595,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199003,1279.869,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199004,1217.911,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199005,1245.719,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199006,1373.528,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199007,1504.097,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199008,1536.786,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199009,1408.439,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199010,1353.36,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199011,1283.16,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199012,1439.81,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199013,16260.952,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199101,1502.487,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199102,1233.331,1,Coal Consumed by the Electric Power Sector,Trillion Btu
CLEIBUS,199103,1247.166,1,Coal Consumed by the Electric Power Sector,Trillion Btu
